Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Кальченко,Давид,Олексійович,Чоловік,1984-08-30,Електрослюсар,Горлівка,"парк Верф’яний, буд. 241 кв. 412, Дрогобич, 55100",037 977 90 40,xishchak@example.org
Іщак,Панас,Петрович,Чоловік,1958-02-27,Мінералог,Синельникове,"сквер Васнецова, буд. 32, Теплодар, 28080",+380 52 509-76-82,bohdankhrystych@example.org
Корж,Павло,Петрович,Чоловік,1984-10-23,Фермер,Хорол ,"набережна Степна, буд. 62 кв. 7, Славута, 66046",003-28-17,orestbarannyk@example.net
Рева,Сергій,Іванович,Чоловік,1980-12-12,Петрограф,Шахтарськ,"узвіз Миколи Бажана, буд. 763, Добромиль, 89290",192 07 25,ievhenhavrylyshyn@example.org
Шахрай,Климент,Андрійович,Чоловік,2000-06-08,Правник,Перечин,"площа Колонтаївська, буд. 798, Родинське, 38156",085 931 64 71,mykhailo65@example.net
Гоголь,Вадим,Володимирович,Чоловік,1973-07-24,Хімік,Новогродівка,"сквер Академіка Богатського, буд. 953, Золотоноша, 99286",+380 98 817-18-04,fkarpa@example.net
Шаблій,Теодор,Сергійович,Чоловік,1953-06-11,Живописець,Олевськ,"вулиця Олександра Блока, буд. 43, Сміла, 47025",+380 15 849-23-40,vladyslav34@example.com
Нестеренко,Адам,Миколайович,Чоловік,2008-01-07,Стоматолог,Белз,"парк Аполона Скальковського, буд. 81, Барвінкове, 74896",+380 90 758-51-38,babiukmykhailo@example.org
Цимбалюк,Захар,Іванович,Чоловік,1965-08-29,Промисловець,Запоріжжя,"набережна В’ячеслава Чорновола, буд. 565, Миколаїв, 08732",071 112 05 71,leonid44@example.org
Лаба,Охрім,Сергійович,Чоловік,1948-02-13,Інженер,Новодністровськ,"сквер Каспійський, буд. 43, Перемишляни, 81825",074 654 11 23,moskalalina@example.com
Чумак,Леопольд,Миколайович,Чоловік,1941-06-18,Менеджер,Баранівка,"узвіз Тираспольська, буд. 498, Балта, 52711",+380 25 582-73-14,tovstukhafeofan@example.org
Іванченко,Вʼячеслав,Сергійович,Чоловік,1972-02-12,Реабілітолог,Мостиська,"парк Лиманний, буд. 4 кв. 055, Біла Церква, 58287",+380 (60) 741-35-89,maksym03@example.net
Фастенко,Альберт,Миколайович,Чоловік,2003-12-14,Письменник,Яремче,"площа Лермонтовський 2-й, буд. 32, Мелітополь, 77308",+380 (26) 296-06-53,hanna54@example.org
Баранець,Дмитро,Іванович,Чоловік,1991-11-29,Журналіст,Галич,"сквер Східний, буд. 59 кв. 2, Камінь-Каширський, 81401",+380 88 966-44-90,igerega@example.com
Ґоляш,Гордій,Олексійович,Чоловік,1942-08-04,Електромонтажник,Умань,"проспект Кипарисний 3-й, буд. 42 кв. 617, Запоріжжя, 44376",230 67 07,dmytrofesenko@example.net
Ященко,Артем,Петрович,Чоловік,1968-04-18,Електрик,Синельникове,"вулиця Красна, буд. 27, Новий Буг, 40874",070 948 32 48,pkylymnyk@example.com
Короленко,Вадим,Володимирович,Чоловік,2008-01-19,Кінорежисер,Хрустальний,"площа Деревообробний 4-й, буд. 6 кв. 965, Вилкове, 30439",495 81 85,labavenedykt@example.net
Захаренко,Леонід,Сергійович,Чоловік,1971-08-27,Гірник,Сновськ,"шосе Травневий, буд. 26 кв. 161, Баштанка, 70096",541 91 68,zorianfilipenko@example.net
Єрмоленко,Левко,Володимирович,Чоловік,1996-09-02,Антрополог,Батурин,"парк Пушкінська, буд. 327, Антрацит , 92339",052 573-69-91,dankybkalo@example.org
Іваничук,Яків,Олексійович,Чоловік,1944-02-14,Паблік рилейшнз,Біляївка,"набережна Пересипський узвіз, буд. 40, Чорнобиль, 47029",+380 37 930 36 72,babychenkoerika@example.net
Балабан,Данило,Іванович,Чоловік,1972-06-04,Мінералог,Білозерське,"вулиця Літакова, буд. 661 кв. 556, Бердянськ, 94184",+380 95 857-83-91,mariiahavrylets@example.net
Тичина,Аарон,Володимирович,Чоловік,1995-05-03,Випробувач,Яремче,"вулиця Куяльницький міст, буд. 6 кв. 389, Родинське, 24224",+380 17 639-74-07,klyment92@example.com
Гречаник,Юхим,Петрович,Чоловік,1981-03-31,Гірничий інженер,Новий Буг,"сквер Байкальська, буд. 766, Берестечко, 56205",+380 (44) 286-84-60,zvdovenko@example.org
Гайдай,Арсен,Іванович,Чоловік,1965-07-12,Клавішник,Черкаси,"провулок Велика Садова, буд. 8, Українка , 27368",768-20-72,roksolanaprytula@example.com
Кабаненко,Ярема,Петрович,Чоловік,1946-06-03,Шериф,Славутич,"узвіз Кришталева, буд. 3, Жмеринка, 44487",136-54-53,petliurazynovii@example.com
Дашенко,Михайло,Сергійович,Чоловік,1939-01-26,Клоун,Гірник ,"вулиця Виноградна 1-ша, буд. 7, Кобеляки, 91718",+380 05 280-86-94,arsenverkhola@example.net
Кабаненко,Данило,Іванович,Чоловік,1969-11-07,Стоматолог,Копичинці,"набережна Чорноморського козацтва, буд. 709, Вараш, 02549",+380 82 713-45-81,panas31@example.org
Оліфіренко,Артем,Олексійович,Чоловік,1982-03-31,Громадський діяч,Старобільськ,"узвіз Лузанівський 2-й, буд. 49, Балаклія, 72480",+380 31 227-70-19,ievdokymenkovalentyn@example.com
Шевченко,Валентин,Володимирович,Чоловік,1968-07-04,Модельєр,Ірпінь,"парк Олександра Тимошенка, буд. 26, Бучач, 94741",+380 22 050 48 78,romanetsorkhyp@example.org
Рева,Гаврило,Петрович,Чоловік,1980-01-02,Етнограф,Глиняни,"проспект Магнітогорський 3-й, буд. 00 кв. 2, Таврійськ, 76457",646-35-56,tsiutsiurasviatoslava@example.org
Фастенко,Венедикт,Іванович,Чоловік,1978-03-11,Стиліст,Вараш,"вулиця Солонцюватий, буд. 0, Зугрес, 67498",+380 88 607 98 18,mykolai12@example.net
Архипенко,Михайло,Петрович,Чоловік,1970-06-14,Акушер,Мелітополь,"сквер Грецька, буд. 8, Рожище, 42556",+380 56 824 35 91,dashkevychivan@example.com
Ящук,Степан,Олексійович,Чоловік,1939-01-28,Кухар,Зоринськ,"площа Творча, буд. 5 кв. 28, Балаклія, 42070",061 578-52-90,sishchenko@example.org
Ґерус,Остап,Володимирович,Чоловік,1995-04-06,Паблік рилейшнз,Красногорівка,"вулиця П'ята, буд. 82 кв. 13, Чернігів, 54346",039 910 99 16,jdubyna@example.net
Корбут,Йосип,Петрович,Чоловік,1964-03-24,Кінорежисер,Балаклія,"парк Купріна, буд. 80 кв. 5, Новоукраїнка, 55492",791 74 93,okhrim60@example.net
Бандурка,Симон,Іванович,Чоловік,1999-01-18,Стоматолог,Львів,"шосе Середня, буд. 3 кв. 305, Рожище, 54483",+380 (28) 443-56-79,marusiavysochan@example.org
Удовиченко,Аркадій,Олексійович,Чоловік,1992-02-15,Лікар,Слов'янськ,"шосе Промисловий, буд. 44 кв. 2, Ромни, 53350",+380 98 279-29-49,xavramchuk@example.net
Цюцюра,Пантелеймон,Петрович,Чоловік,1950-07-01,Психолог,Амвросіївка,"проспект Москеті, буд. 860 кв. 1, Чортків, 07041",+380 82 555-06-59,leontii79@example.org
Лесик,Демʼян,Олексійович,Чоловік,1950-10-13,Стоматолог,Зоринськ,"площа Люстдорфська дорога, буд. 687, Бровари, 48946",725-17-74,tereshchenkonataliia@example.net
Цісик,Михайло,Олексійович,Чоловік,1966-01-26,Патологоанатом,Бахчисарай,"сквер Інтернаціональний, буд. 06 кв. 839, Київ, 31639",+380 82 599 72 40,shyiandan@example.com
Охримович,Борис,Володимирович,Чоловік,1957-06-22,Дипломат,Заліщики,"сквер Нежданової, буд. 70 кв. 3, Васильків, 39156",+380 31 310 96 15,lsirko@example.net
Фастенко,Пантелеймон,Олексійович,Чоловік,1966-06-08,Будник,Ромни,"узвіз Чапаєва, буд. 8, Лубни, 36907",+380 (88) 630-48-92,iukhymenkovalentyna@example.org
Шухевич,Прохір,Миколайович,Чоловік,1969-07-23,Фермер,Тростянець,"площа Нескучна, буд. 723, Моршин, 50213",098 041-22-93,uviter@example.com
Аврамчук,Мартин,Сергійович,Чоловік,2003-11-09,Реставратор,Марганець ,"площа Лиманчик 2-й Лінія 1-ша, буд. 03, Івано-Франківськ, 57543",+380 (27) 496-72-37,dashenkovolodymyr@example.org
Сімашкевич,Панас,Сергійович,Чоловік,1987-01-27,Патологоанатом,Вилкове,"шосе Академічна, буд. 13 кв. 05, Олександрівськ, 99973",+380 30 691-14-11,stepanvysochan@example.org
Девдюк,Орест,Іванович,Чоловік,1953-07-23,Дизайнер,Світлодарськ,"вулиця Рибальська, буд. 92 кв. 28, Вишневе , 63065",969-93-13,iosyp67@example.org
Ящук,Сергій,Андрійович,Чоловік,1971-03-29,Соціолог,Корюківка,"площа Мигдальна, буд. 7, Глухів, 33699",+380 31 007 94 77,iustym13@example.org
Дутка,Юхим,Миколайович,Чоловік,1968-12-28,Музичний редактор,Волноваха,"проспект Чорноморський 11-й, буд. 039 кв. 0, Чернівці, 87459",605-26-23,hlibzaika@example.org
Цимбалюк,Богуслав,Володимирович,Чоловік,1991-01-01,Доцент,Географія Вільнянська,"проспект Фонтанська дорога, буд. 19, Сулимівка (Слов'янськ), 11146",+380 71 175 32 85,oles70@example.org
Кабаненко,Святослав,Миколайович,Чоловік,1977-03-15,Кур'єр,Мирноград,"парк Степна, буд. 7 кв. 79, Бахмач, 82422",+380 60 325 51 47,bazylevychanastasiia@example.org
Ісаєвич,Кирило,Петрович,Чоловік,1984-04-12,Антрополог,Калуш,"сквер Ванний, буд. 27 кв. 822, Докучаєвськ, 60032",+380 37 549-02-55,aleksandrenkoiukhym@example.net
Шовкопляс,Федір,Сергійович,Чоловік,1969-01-21,Прокурор,Кам'янка-Бузька,"парк Світлий, буд. 76, Березне, 37221",512-36-00,riabchenkoamvrosii@example.net
Адаменко,Єлисей,Миколайович,Чоловік,1944-07-13,Флорист,Перемишляни,"парк Пісочна, буд. 26, Керч, 88812",+380 07 470-03-67,avhustynshyian@example.com
Бабій,Адам,Олексійович,Чоловік,1946-06-02,Сценарист,Славута,"шосе Оборони Ленінграду, буд. 2 кв. 45, Гірник , 14524",021 956 27 55,panastsymbaliuk@example.org
Худяк,Єфрем,Іванович,Чоловік,1978-01-07,Юрист,Лебедин,"провулок Профспілкова, буд. 5, Вараш, 21007",+380 01 499 27 58,ishchaklarysa@example.net
Юрчишин,Спас,Петрович,Чоловік,1991-03-24,Маркетолог,Красногорівка,"площа Івасюка Володимира, буд. 6, Прилуки, 88327",059 148 50 12,hordiicharnysh@example.com
Шиян,Пантелеймон,Сергійович,Чоловік,1963-05-30,Кінорежисер,Перемишляни,"сквер Самодіяльна, буд. 00 кв. 94, Трускавець, 02511",+380 52 851-94-13,cartiushenko@example.com
Ґжицький,Дан,Миколайович,Чоловік,1972-03-23,Паблік рилейшнз,Олександрія,"шосе Івана Франка, буд. 62 кв. 99, Миколаїв, 75099",076 309-81-37,huzenkomykolai@example.com
Романчук,Богодар,Миколайович,Чоловік,1940-12-13,Акушер,Гайворон,"проспект Східчастий 4-й, буд. 060, Чортків, 48715",+380 56 893-46-27,adamaronets@example.net
Демʼянчук,Зорян,Володимирович,Чоловік,1944-10-22,Стиліст,Збараж,"провулок Думська, буд. 5 кв. 817, Самбір, 89416",+380 44 769-97-34,iustym39@example.org
Калениченко,Іван,Сергійович,Чоловік,2003-02-27,Менеджер,Ладижин,"узвіз Слов'янська, буд. 6, Арциз, 11348",+380 88 987-90-92,okseniia05@example.com
Гайворонська,Леон,Сергійович,Чоловік,1947-03-19,Журналіст,Костянтинівка,"площа Старорізнична, буд. 434 кв. 566, Ізмаїл, 09182",+380 54 407-45-95,kvitruk@example.com
Бакуменко,Георгій,Володимирович,Чоловік,1972-03-13,Лікар,Баранівка,"провулок Виноградна, буд. 33 кв. 23, Бахмач, 06815",+380 93 547-59-47,lhavryliv@example.com
Павличенко,Соломон,Сергійович,Чоловік,1968-06-13,Гірник,Тячів,"набережна Пересипська 1-ша, буд. 518 кв. 1, Дубровиця, 07591",+380 33 009 54 77,ivanshcherbak@example.com
Сімашкевич,Азар,Андрійович,Чоловік,1973-10-29,Кіноактор,Гуляйполе,"шосе Польова, буд. 904 кв. 16, Алушта, 13724",+380 66 270-76-53,tytarenkoserhii@example.org
Лесик,Лукʼян,Петрович,Чоловік,1989-04-25,Вчитель,Новогродівка,"площа Семінарська, буд. 51, Рівне, 83839",167 64 29,hmasliak@example.com
Єрченко,Григорій,Петрович,Чоловік,1944-03-29,Золотар,Радомишль,"узвіз Північна, буд. 22 кв. 797, Радомишль, 31028",073 166-35-01,demianvashchenko-zakharchenko@example.net
Батіг,Климент,Олексійович,Чоловік,1995-11-24,М'ясник,Армянськ,"узвіз Сєченова, буд. 89 кв. 5, Рубіжне, 75626",155-44-73,havryloriabchenko@example.net
Тригуб,Азар,Андрійович,Чоловік,1960-09-14,Євнух,Донецьк,"проспект Щоглова, буд. 35, Олександрівськ, 25575",+380 (76) 716-69-34,halyna25@example.net
Килимник,Зорян,Сергійович,Чоловік,1939-10-16,Кушнір,Волочиськ,"провулок Дніпропетровська дорога, буд. 4, Заліщики, 56331",+380 40 350 76 07,valenkotetiana@example.com
Лагода,Венедикт,Володимирович,Чоловік,1987-01-15,Математик,Городенка,"сквер Самодіяльна, буд. 693, Красноперекопськ, 53906",062 204 16 76,snizhanashukhevych@example.net
Гузенко,Михайло,Володимирович,Чоловік,1955-06-28,Клавішник,Жашків,"шосе Шкодова гора, буд. 7, Березне, 05007",024 136-66-47,taras44@example.org
Козаченко,Левко,Іванович,Чоловік,2003-03-07,Літературознавець,Красногорівка,"провулок Героїв Крут, буд. 415, Мала Виска, 15335",011 278 64 21,iryna48@example.com
Бгиденко,Антон,Андрійович,Чоловік,1968-01-08,Актор,Шепетівка,"проспект Чорноморський, буд. 33 кв. 33, Галич, 76377",098 582 94 97,lbandurka@example.com
Ващенко,Георгій,Сергійович,Чоловік,1981-06-19,Астрофізик,Іллінці,"сквер Абрикосовий, буд. 567, Христинівка, 20392",939 68 00,olehvyshniak@example.org
Дробʼязко,Йосип,Сергійович,Чоловік,1995-04-29,Реставратор,Соледар,"парк Овідіопольський, буд. 5, Кривий Ріг, 59313",+380 98 327 97 57,gandriiovych@example.org
Власюк,Демид,Олексійович,Чоловік,1959-09-19,Історик,Оріхів,"парк Лип Івана та Юрія, буд. 4, Долинська, 50043",293 30 40,vadymkomar@example.net
Голик,Вадим,Петрович,Чоловік,1942-07-12,Агроном,Глобине,"парк Восьмого березня узвіз, буд. 930 кв. 14, Українськ, 29121",561-97-53,banderavolodymyra@example.net
Медведенко,Юхим,Сергійович,Чоловік,1947-05-24,Бібліотекар,Краматорськ,"площа Яблунева, буд. 9, Мелітополь, 23453",349 53 77,ishchakbohdanna@example.net
Атаманчук,Остап,Миколайович,Чоловік,1953-07-10,Промисловець,Умань,"шосе Дальній, буд. 825 кв. 7, Вінниця, 36147",084 918-97-55,spasgerus@example.net
Височан,Пантелеймон,Іванович,Чоловік,1975-04-20,Клавішник,Нетішин,"проспект 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 27, Білопілля, 45349",705 54 29,bbabychenko@example.net
Сімашкевич,Теодор,Володимирович,Чоловік,1985-10-25,Модельєр,Чугуїв,"парк Садова 3-тя, буд. 86, Вишневе , 54150",+380 (47) 497-26-25,shevchenkoaaron@example.org
Жук,Артем,Володимирович,Чоловік,2008-02-07,Електрик,Географія Вільнянська,"сквер Клинова, буд. 89, Старий Самбір, 75066",012 594 74 35,onysym76@example.org
Скиба,Веніямин,Андрійович,Чоловік,1941-03-02,Сценарист,Калинівка ,"площа Виноградна 2-га, буд. 941 кв. 5, Алчевськ, 78102",+380 07 023 50 65,mhaidabura@example.net
Вергун,Аврелій,Андрійович,Чоловік,1962-09-24,Фрілансер,Львів,"узвіз Мічуріна, буд. 2, Макіївка, 22814",+380 44 910 78 21,deisunalbina@example.org
Чуйко,Петро,Олексійович,Чоловік,1998-10-01,Електромонтажник,Бобринець,"вулиця 8-ма Лінія Дачі Ковалевського, буд. 444 кв. 3, Кременець, 85175",+380 (94) 055-23-46,nataliia41@example.com
Аронець,Яків,Петрович,Чоловік,1991-04-04,Євнух,Костянтинівка,"сквер Ткачова, буд. 2 кв. 84, Павлоград, 87528",+380 (39) 938-38-51,boleslavsheremet@example.org
Баранник,Дан,Володимирович,Чоловік,1944-03-27,Провізор,Тернівка ,"набережна Спортивний, буд. 9, Чуднів, 54934",+380 12 768 64 57,omelianzakharenko@example.org
Жадан,Венедикт,Сергійович,Чоловік,1984-11-05,Мікробіолог,Новояворівськ,"узвіз Грибоєдова, буд. 1 кв. 7, Вишгород, 44858",+380 (87) 873-73-59,danylobazylevska@example.net
Бараник,Мартин,Андрійович,Чоловік,1952-01-04,Реабілітолог,Феодосія,"сквер Лиманний, буд. 12 кв. 930, Рава-Руська, 71818",+380 (78) 076-48-57,pushkardanylo@example.org
Жук,Аврелій,Андрійович,Чоловік,1952-06-11,Єгер,Вижниця,"узвіз Вєтрогонова, буд. 75 кв. 9, Бурштин , 18305",+380 43 324 50 26,iakiv69@example.net
Корпанюк,Лесь,Володимирович,Чоловік,1968-07-05,Адвокат,Обухів,"вулиця Золотий берег, буд. 984, Зборів, 98761",+380 50 102-18-85,yatroshchenko@example.net
Кабаненко,Ярослав,Іванович,Чоловік,1947-06-11,Бібліограф,Яворів,"проспект Пересипський міст, буд. 87 кв. 042, Перещепине, 86106",+380 46 264 61 21,trokhymalekseienko@example.org
Приходько,Георгій,Андрійович,Чоловік,1959-09-18,Кіноактор,Сватове,"сквер Мічманський 2-й, буд. 708 кв. 305, Старий Крим, 39655",088 23 86,lytvynborys@example.net
Черінько,Антон,Петрович,Чоловік,1956-12-02,Біолог,Коростишів,"сквер Гладкова, буд. 0, Ізяслав, 41501",068 877 33 17,kamillariabchenko@example.net
Шовкопляс,Демʼян,Іванович,Чоловік,1995-05-06,Гірничий інженер,Рава-Руська,"вулиця Салтикова-Щедріна, буд. 0, Миронівка, 08737",078 23 39,iustym68@example.org
Рябошапка,Андрій,Петрович,Чоловік,1983-03-11,Астрофізик,Берегове,"провулок Вапняна, буд. 11 кв. 9, Ворожба, 89769",052 037 72 66,izhuravel@example.org
Бараник,Трохим,Іванович,Чоловік,2004-04-06,Геофізик,Гадяч,"вулиця Промислова, буд. 7, Амвросіївка, 92884",030 047 81 17,bohodar70@example.com
Засенко,Августин,Сергійович,Чоловік,1984-12-23,Фермер,Керч,"шосе Липнева, буд. 18 кв. 3, Новгород-Сіверський, 58566",+380 27 366-79-92,shvachkomariana@example.org
Самойленко,Аврелій,Володимирович,Чоловік,1989-10-24,Намотувальник,Костянтинівка,"проспект Каретний, буд. 66 кв. 1, Рені, 68928",+380 75 079-63-50,dchumachenko@example.net
Фесенко,Опанас,Андрійович,Чоловік,1981-01-16,Фольклорист,Кам'янське,"шосе Лінія 47-ма, буд. 37, Переяслав, 61698",+380 70 458-36-28,kybkaloiarema@example.org
Вітрук,Мирон,Петрович,Чоловік,1994-07-05,Футболіст,Новоазовськ,"площа Ярморочна площа, буд. 80 кв. 1, Здолбунів, 67696",080 873-30-67,adam49@example.net
Сімашкевич,Іван,Володимирович,Чоловік,1963-06-06,Перекладач,Макіївка,"шосе Ушинського, буд. 23 кв. 20, Тячів, 53521",+380 (48) 923-15-28,nieremenko@example.net
Ґалаґан,Степан,Сергійович,Чоловік,1988-12-31,М'ясник,Житомир,"парк Садова 6-та, буд. 34 кв. 0, Радивилів, 17291",+380 26 642 45 35,filipenkoviacheslav@example.com
Атаманчук,Вадим,Миколайович,Чоловік,1952-12-04,Музикознавець,Амвросіївка,"провулок Строганов міст, буд. 968 кв. 75, Новодружеськ, 96363",+380 37 068 25 72,valentyn97@example.org
Палій,Назар,Іванович,Чоловік,2006-07-28,Машиніст,Ржищів,"проспект Головна, буд. 61 кв. 930, Білгород-Дністровський, 11600",+380 66 024 46 19,valentyn27@example.com
Лаба,Андрій,Володимирович,Чоловік,1963-07-10,Водій,Семенівка,"провулок Короленка, буд. 88, Залізне, 20602",782-87-88,irena70@example.com
Комар,Ігнат,Володимирович,Чоловік,1946-04-23,Антрополог,Нова Одеса,"площа Бузковий, буд. 229, Славутич, 37327",087 597 59 88,dmytro85@example.com
Дзиндра,Руслан,Олексійович,Чоловік,2008-09-13,Медик,Винники,"провулок Верещагіна, буд. 20, Городище , 89490",056 68 09,solomiia01@example.org
Александренко,Панас,Іванович,Чоловік,1977-07-21,Співак,Арциз,"провулок Серединський, буд. 544 кв. 3, Сімферополь, 05080",+380 76 147-15-26,danchukirena@example.com
Дашкевич,Климент,Миколайович,Чоловік,1970-11-21,Круп'є,Соснівка ,"набережна 14-та Суворовська, буд. 9 кв. 7, Лубни, 29999",+380 88 073-23-62,rostyslavkhmara@example.org
Шахрай,Пантелеймон,Андрійович,Чоловік,1995-11-09,Соціолог,Світловодськ,"проспект Молодіжна, буд. 2 кв. 227, Стебник, 07255",+380 08 580-30-87,onysymriaboshapka@example.org
Дейнека,Владислав,Іванович,Чоловік,1957-10-21,Фізик,Мостиська,"шосе Тупиковий 2-й, буд. 70 кв. 57, Болехів, 74264",015 814-72-12,hohol-ianovskyiievhen@example.net
Ванченко,Богдан,Андрійович,Чоловік,1994-01-15,Етнограф,Жашків,"провулок Пересипський узвіз, буд. 506 кв. 313, Долина , 78186",814-06-45,eduard35@example.com
Лагода,Остап,Іванович,Чоловік,1950-09-10,Бізнесмен,Шаргород,"вулиця Мацієвської, буд. 85 кв. 541, Березань , 58892",001 677 25 96,skyrdamykolai@example.com
Рябченко,Онисим,Володимирович,Чоловік,1946-12-08,Детектив,Пирятин,"проспект Косовська, буд. 781, Новгород-Сіверський, 74112",+380 (79) 200-86-41,aartymovych@example.org
Юрчук,Ігор,Андрійович,Чоловік,1958-08-31,Продюсер,Дніпро ,"площа Естонська, буд. 818, Бобровиця, 11671",+380 35 776 86 27,masokhahordii@example.com
Бабенко,Стефан,Андрійович,Чоловік,1976-06-02,Фотограф,Ізюм,"провулок Станційна 3-тя, буд. 0, Дружба , 92235",+380 (08) 519-05-43,mykhailo85@example.net
Чекалюк,Сергій,Іванович,Чоловік,1940-09-24,Гірник,Лозова ,"проспект Утьосова, буд. 7, Тлумач, 52154",+380 (70) 791-45-99,volodymyr42@example.org
Гоголь,Аркадій,Володимирович,Чоловік,1980-12-11,Футболіст,Тиврів,"провулок Наливна, буд. 0, Барвінкове, 89380",+380 75 045 01 82,viraprotsenko@example.com
Петренко,Демʼян,Іванович,Чоловік,1974-03-15,М'ясник,Новий Калинів,"провулок Скляний 1-й, буд. 8 кв. 493, Боково-Хрустальне, 93355",064 619-04-53,stepan99@example.com
Верхола,Венедикт,Петрович,Чоловік,1946-12-18,Ветеринар,Корсунь-Шевченківський,"площа Хаджибейський 3-й, буд. 28 кв. 378, Берегове, 69095",717 94 28,myroslav61@example.com
Сірко,Кирило,Олексійович,Чоловік,1967-05-25,Бібліотекар,Добромиль,"вулиця Крайня, буд. 992 кв. 97, Мала Виска, 47371",009 619 81 61,datsenkomarta@example.org
Швачка,Пармен,Миколайович,Чоловік,1983-06-19,Детектив,Донецьк,"площа Проектний 5-й, буд. 0 кв. 163, Червоноград, 54550",+380 88 212-71-84,hordii90@example.net
Товстоліс,Георгій,Іванович,Чоловік,1977-07-07,Менеджер,Дружківка,"сквер Мечникова, буд. 218, Кіцмань, 59173",518 44 13,oksana56@example.org
Шелест,Семен,Олексійович,Чоловік,1963-11-26,Зоолог,Путивль,"шосе Катаєва, буд. 07, Горішні Плавні, 83140",043 889 35 51,irenadavydenko@example.com
Оніщук,Феофан,Андрійович,Чоловік,2007-08-26,Паралегал,Боково-Хрустальне,"площа Ціолковського, буд. 61 кв. 34, Кальміуське, 69784",+380 74 860 43 95,hlib70@example.org
Авраменко,Альберт,Миколайович,Чоловік,1951-01-17,Єгер,Дубно,"узвіз Грузовий, буд. 9, Чорноморськ, 16031",+380 74 413-55-92,zakhar03@example.org
Єрошенко,Гордій,Сергійович,Чоловік,1950-06-12,Головний меркшейдер,Теребовля,"проспект Садиковська, буд. 740, Дергачі, 84256",922 78 58,bohdanna53@example.org
Гоголь,Пантелеймон,Олексійович,Чоловік,1979-10-14,Краєзнавець,Дніпрорудне,"проспект Проектований 4-й, буд. 55, Кіцмань, 23273",899-57-58,kostiantyn62@example.net
Приймак,Павло,Петрович,Чоловік,1948-11-25,Дерун,Тульчин,"парк Пiвденний, буд. 614 кв. 312, Валки , 16758",041 836 00 59,protsenkoliliia@example.org
Оберемко,Азар,Андрійович,Чоловік,1971-03-10,Дерун,Жданівка,"шосе Церковна, буд. 17, Тиврів, 70892",+380 17 528-60-59,kozachenkovolodymyra@example.net
Устенко,Руслан,Іванович,Чоловік,1980-10-15,Реабілітолог,Устилуг,"вулиця Бірюкова, буд. 4, Саки , 14609",010 882 44 33,skyrdabohuslava@example.com
Ященко,Ігнат,Петрович,Чоловік,1972-02-16,Електромонтер,Кропивницький,"площа Косовська, буд. 96 кв. 19, Карлівка, 34068",584-66-77,leopoldlutsenko@example.org
Голобородько,Гаврило,Сергійович,Чоловік,2004-08-21,Драматург,Новояворівськ,"узвіз Маяковського, буд. 9, Павлоград, 58300",156-11-23,bohuslavaaronets@example.net
Акименко,Охрім,Миколайович,Чоловік,1983-10-23,Краєзнавець,Світлодарськ,"провулок Житомирський 4-й, буд. 1 кв. 334, Козятин, 38240",239-51-22,hennadii29@example.org
Влох,Зиновій,Олексійович,Чоловік,1974-02-08,Стиліст,Зеленодольськ,"провулок Локальна, буд. 4 кв. 0, Перемишляни, 80643",+380 41 230 35 48,ihor33@example.org
Ґоляш,Леонтій,Миколайович,Чоловік,1941-09-24,Бізнесмен,Лубни,"набережна Прорізний, буд. 986, Ірміно, 38164",+380 29 933-01-45,ckorzh@example.net
Симоненко,Валерій,Андрійович,Чоловік,1962-12-12,Музикант,Новий Калинів,"узвіз Онілової, буд. 08 кв. 589, Прип'ять , 20949",+380 (38) 547-53-46,gkharchenko@example.org
Рубець,Альберт,Миколайович,Чоловік,1948-05-19,Флорист,Лиман ,"набережна Маріїнська, буд. 412 кв. 9, Шпола, 16150",+380 81 122-64-74,teodorderhach@example.org
Гресь,Пармен,Сергійович,Чоловік,1991-05-18,Архітектор,Помічна,"узвіз Кредитний, буд. 22, Прип'ять , 56644",186-88-83,olhachuiko@example.com
Сіробаба,Олекса,Олексійович,Чоловік,1950-10-25,Патологоанатом,Зіньків,"вулиця Амундсена, 3-й, буд. 415, Жмеринка, 50800",044 103-44-63,mykhaliukada@example.org
Шелест,Панас,Сергійович,Чоловік,2002-01-19,Модельєр,Стрий,"набережна Марата, буд. 088, Житомир, 39318",075 180-49-23,nazarenkoamaliia@example.net
Каденюк,Дан,Іванович,Чоловік,1961-02-03,Продюсер,Кривий Ріг,"провулок Джутовий, буд. 314 кв. 820, Батурин, 15082",369 77 37,oryna61@example.com
Онуфрієнко,Орест,Іванович,Чоловік,1995-11-22,Золотар,Винники,"узвіз Кибальчича, буд. 7, Кам'янське, 39614",035 320 06 42,priska76@example.org
Дзюба,Петро,Андрійович,Чоловік,1992-08-18,Музичний редактор,Саки ,"набережна Бісквітний, буд. 1, Тернопіль, 95773",+380 20 738-45-78,tereshchenkoaaron@example.org
Назаренко,Соломон,Андрійович,Чоловік,1994-01-30,Кіноактор,Щастя ,"набережна Восьмого Березня Лінія 2-га, буд. 66 кв. 0, Деражня, 37356",+380 68 042-56-04,ereva@example.com
Чумаченко,Георгій,Іванович,Чоловік,1945-10-19,Стоматолог,Севастополь,"сквер Далекосхідна, буд. 92, Умань, 94093",+380 19 997-63-12,durdynetsvioletta@example.org
